"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,   -0.006845228737,       2.524114526,         2.2117765,       5.889722299
          0,           0,           1,    -0.07081990263,       2.468086859,       2.180237778,       5.825128535
          0,           0,           2,     -0.2507876714,       2.283820181,       2.082063402,       5.644009874
          0,           0,           3,      -0.391442725,       2.054993929,       1.863067131,       5.502090577
          0,           0,           4,     -0.4760376912,       1.872671744,       1.587453958,       5.414953195
          0,           0,           5,      -0.601618638,       1.774735346,        1.57775695,       5.287620142
          0,           0,           6,     -0.6889124192,       1.734157586,         1.5616876,       5.205446459
          0,           0,           7,     -0.7139492456,       1.666266942,       1.540701391,       5.184925348
          0,           0,           8,     -0.7759607534,       1.525949499,       1.464775605,       5.124295749
          0,           0,           9,     -0.8589192498,       1.413650084,       1.368814236,        5.04157598
          0,           0,          10,     -0.9444231028,       1.313064755,       1.275646624,       4.955994862
          0,           0,          11,       -1.01592499,       1.231076373,       1.199195109,       4.884386529
          0,           0,          12,      -1.071826937,        1.16778896,       1.140272163,       4.828420317
          0,           0,          13,      -1.113531905,       1.120615722,       1.096725054,       4.786686992
          0,           0,          14,      -1.142186291,       1.088153904,       1.066604118,       4.758019365
          0,           0,          15,      -1.159787724,       1.067708277,       1.047778038,       4.740403047
          0,           0,          16,      -1.168326714,       1.056419236,        1.03818942,       4.731837196
          0,           0,          17,      -1.169258619,       1.052600309,       1.036349191,       4.730872015
          0,           0,          18,       -1.16371244,       1.055300602,       1.041036481,       4.736387124
          0,           0,          19,      -1.152749163,       1.063702594,       1.051188465,       4.747327494
          0,           0,          20,      -1.137423135,       1.076832775,       1.065761774,       4.762638835
          0,           0,          21,      -1.118740712,        1.09367319,       1.083710462,       4.781312528
          0,           0,          22,      -1.097615929,       1.113246573,       1.104034737,       4.802431694
          0,           0,          23,      -1.074830876,       1.134671009,       1.125985777,       4.825211459
          0,           0,          24,       -1.05104529,       1.157158638,       1.149037932,       4.848989636
          0,           0,          25,      -1.026797982,       1.180059217,        1.17277587,       4.873226293
          0,           0,          26,      -1.002517204,       1.202897245,       1.196824763,       4.897494013
          0,           0,          27,     -0.9785786438,       1.225356754,       1.220742481,       4.921419726
          0,           0,          28,     -0.9553194075,       1.247293611,       1.244028756,        4.94467118
          0,           0,          29,     -0.9330280913,       1.268679303,       1.266228559,       4.966966108
          0,           0,          30,     -0.9119093269,       1.289449627,       1.287026025,       4.988103566
          0,           0,          31,     -0.8920316234,       1.309392377,        1.30637835,        5.00801065
          0,           0,          32,     -0.8733574075,       1.328195216,       1.324459501,       5.026713363
          0,           0,          33,     -0.8558621926,       1.345583764,       1.341424048,       5.044226385
          0,           0,          34,      -0.839686577,       1.361256849,       1.357150338,       5.060405844
          0,           0,          35,     -0.8251471752,       1.374782483,       1.371186248,       5.074933024
          0,           0,          36,     -0.8124856308,       1.385943672,       1.383149418,       5.087564134
          0,           0,          37,     -0.8017206914,       1.395194776,       1.393225701,       5.098291546
          0,           0,          38,     -0.7928436403,       1.403437009,       1.402045214,       5.107154195
          0,           0,          39,     -0.7858674286,       1.411248986,       1.410010805,       5.114163275
          0,           0,          40,     -0.7805617398,       1.418420329,       1.416939376,       5.119537041
          0,           0,          41,     -0.7763360198,       1.424363639,        1.42248035,       5.123825485
          0,           0,          42,     -0.7725581524,       1.428875793,       1.426694869,        5.12763116
          0,           0,          43,     -0.7689954964,       1.432283961,       1.429998217,       5.131190829
          0,           0,          44,     -0.7658804309,       1.434928606,       1.432675234,       5.134292233
          0,           0,          45,     -0.7636617253,         1.4366912,       1.434680247,       5.136496951
          0,           0,          46,     -0.7626441477,       1.437240071,       1.435953561,       5.137498928
          0,           0,          47,     -0.7627283473,       1.436686352,        1.43674923,       5.137398241
          0,           0,          48,     -0.7635068371,       1.435803907,       1.437502754,        5.13661455
          0,           0,          49,     -0.7647380994,       1.435411073,       1.438257363,       5.135408021
          0,           0,          50,     -0.7668828041,       1.435209033,       1.437992557,       5.133323312
          0,           0,          51,     -0.7714856501,       1.432861038,       1.434308571,       5.128789078
          0,           0,          52,     -0.7811877742,        1.42436688,       1.423908746,       5.119114944
          0,           0,          53,     -0.7987445327,       1.406087723,       1.404179166,       5.101513196
          0,           0,          54,     -0.8249041019,        1.37742013,       1.375502475,       5.075253514
          0,           0,          55,     -0.8565325659,       1.342554181,        1.34269625,       5.043533688
          0,           0,          56,     -0.8874699246,       1.309252623,       1.312913868,       5.012575678
          0,           0,          57,     -0.9127669452,       1.283732632,       1.290256044,       4.987328147
          0,           0,          58,     -0.9321394181,       1.266212961,       1.273194636,         4.9680194
          0,           0,          59,     -0.9486035399,       1.252613321,        1.25782899,        4.95159377
          0,           0,          60,     -0.9649048728,       1.239155629,       1.241745873,       4.935310968
          0,           0,          61,       -0.98186446,       1.224337216,       1.224742189,       4.918368827
          0,           0,          62,      -0.998671183,       1.208523479,       1.207837667,       4.901581641
          0,           0,          63,      -1.013855426,       1.193028468,       1.192270624,       4.886407084
          0,           0,          64,      -1.026227104,       1.179330957,       1.178958844,       4.874025916
          0,           0,          65,      -1.035467081,       1.168363887,       1.168267946,       4.864760388
          0,           0,          66,       -1.04217945,       1.160062822,       1.159988633,       4.858015654
          0,           0,          67,      -1.047485536,       1.153530055,       1.153511717,       4.852677477
          0,           0,          68,      -1.052478637,       1.147729219,       1.148121898,       4.847658468
          0,           0,          69,       -1.05796491,       1.142003561,       1.143105372,       4.842161634
          0,           0,          70,      -1.064527412,       1.136015819,       1.137635782,       4.835614237
          0,           0,          71,      -1.072761468,       1.129209997,       1.130586272,         4.8274224
          0,           0,          72,      -1.083436671,       1.120356379,       1.120553755,       4.816800518
          0,           0,          73,      -1.097426458,       1.107712924,       1.106241283,       4.802845802
          0,           0,          74,      -1.115340777,       1.089870714,       1.087105324,        4.78492331
          0,           0,          75,      -1.136963612,       1.066815228,       1.063973729,       4.763247158
          0,           0,          76,      -1.160828154,       1.040562319,       1.039208833,       4.739310374
          0,           0,          77,      -1.184430369,       1.014770208,       1.015975699,       4.715657032
          0,           0,          78,       -1.20534225,      0.9930438115,      0.9966521378,       4.694742594
          0,           0,          79,      -1.222591441,      0.9768268851,      0.9814938865,       4.677536707
          0,           0,          80,       -1.23704745,      0.9647860142,       0.968837774,       4.663145258
          0,           0,          81,      -1.250490251,       0.954189808,      0.9565121231,       4.649763363
          0,           0,          82,      -1.264356952,      0.9427015842,      0.9430599869,       4.635939637
          0,           0,          83,      -1.279088437,      0.9292740784,      0.9281297993,       4.621227292
          0,           0,          84,      -1.294171107,      0.9141650179,       0.912294623,       4.606138465
          0,           0,          85,      -1.308623903,      0.8984656262,      0.8966149252,       4.591656742
          0,           0,          86,      -1.321578111,      0.8834753174,      0.8821712975,         4.5786581
          0,           0,          87,      -1.332642085,      0.8701917995,      0.8697307734,       4.567545257
          0,           0,          88,       -1.34199005,      0.8590363481,      0.8595416999,       4.558156435
          0,           0,          89,      -1.350213776,      0.8498736776,       0.851279236,       4.549911424
          0,           0,          90,      -1.358121351,      0.8421384207,      0.8440918461,       4.542010156
          0,           0,          91,      -1.366614099,      0.8348776392,      0.8367144164,       4.533551761
          0,           0,          92,      -1.376614043,      0.8267636296,      0.8276836783,       4.523603668
          0,           0,          93,      -1.388970967,      0.8162500606,      0.8156626091,       4.511295678
