,Index,pressure,density,temperature,Mach,nu,p1
0,0,0.5988336134857094,0.5995348568474864,0.9626326504751846,1.0,0.0,746601.0810810811
1,1,0.5911322214097549,0.5912572552736552,0.9626326504751846,1.0132906567626352,0.0,1224720.0
2,2,0.5836256584501246,0.5832051136648702,0.9626326504751846,1.0262286653692758,0.002184577630955312,0.0
3,3,0.5763066539643464,0.5753693443833844,0.9626326504751846,1.0388324446566208,0.005145577230430102,0.0
4,4,0.5691682930220155,0.567741341711635,0.9626326504751846,1.0511189661371507,0.008625391927430705,0.0
5,5,0.5622039950204807,0.5603129503247538,0.9626326504751846,1.0631039057627854,0.0124853604239734,0.0
6,6,0.5554074938164875,0.5530764362061684,0.9626326504751846,1.0748017758768313,0.016635432997432593,0.0
7,7,0.5487728192506243,0.5460244597882392,0.9626326504751846,1.0862260404309758,0.021011628887686574,0.0
8,8,0.542294279952645,0.5391500511218406,0.9626326504751846,1.097389215993494,0.02556602761962236,0.0
9,9,0.5359664473258379,0.5324465868983009,0.9626326504751846,1.1083029606351553,0.03026147727429622,0.0
10,10,0.5297841406176935,0.5259077691644621,0.9626326504751846,1.1189781524258322,0.03506846860472296,0.0
11,11,0.5237424129923255,0.519527605587077,0.9626326504751846,1.1294249589888343,0.03996314117728155,0.0
12,12,0.5178365385274881,0.513300391136547,0.9626326504751846,1.1396528993272403,0.04492593810710482,0.0
13,13,0.5120620000657129,0.507220691072324,0.9626326504751846,1.1496708989459887,0.049940658803179605,0.0
14,14,0.5064144778551293,0.5012833251233169,0.9626326504751846,1.1594873391367329,0.05499376928890152,0.0
15,15,0.500889838921,0.49548335276651817,0.9626326504751846,1.1691101011628144,0.06007388641833213,0.0
16,16,0.4954841271139551,0.4898160595159208,0.9626326504751846,1.178546605973979,0.06517138359963982,0.0
17,17,0.490193553785401,0.48427694414175043,0.9626326504751846,1.1878038499905128,0.07027808386638397,0.0
18,18,0.4850144890446662,0.4788617067471942,0.9626326504751846,1.1968884374210715,0.07538701725366577,0.0
19,19,0.4799434535561432,0.4735662376362458,0.9626326504751846,1.2058066095149906,0.08049222648134532,0.0
20,20,0.4749771108380664,0.4683866069120993,0.9626326504751846,1.214564271096198,0.08558860956083462,0.0
21,21,0.470112260027631,0.4633190547507629,0.9626326504751846,1.22316701468033,0.0906717910511639,0.0
22,22,0.4653458290799587,0.45835998229930214,0.9626326504751846,1.2316201424378848,0.09573801583743854,0.0
23,23,0.4606748683709665,0.45350594315241094,0.9626326504751846,1.239928686233126,0.1007840608204544,0.0
24,24,0.4560965446765223,0.44875363536488566,0.9626326504751846,1.2480974259400621,0.10580716099666368,0.0
25,25,0.4516081355024076,0.4440998939611017,0.9626326504751846,1.256130906212409,0.11080494720564027,0.0
26,26,0.4472070237415411,0.4395416839057825,0.9626326504751846,1.2640334518633893,0.1157753934150691,0.0
27,27,0.4428906926367124,0.43507609350325643,0.9626326504751846,1.271809181993004,0.12071677185984016,0.0
28,28,0.4386567210286971,0.430700328195034,0.9626326504751846,1.2794620229846112,0.12562761469234163,0.0
29,29,0.4345027788711234,0.4264117047279427,0.9626326504751846,1.2869957204789069,0.13050668106361205,0.0
30,30,0.4304266229948349,0.4222076456672447,0.9626326504751846,1.2944138504214102,0.13535292875953733,0.0
31,31,0.4262643215057504,0.41808567423116283,0.9623027095933375,1.301719829269089,0.14016548967707626,0.0
32,32,0.422140491841982,0.41404340942506046,0.9618937314714233,1.3089166177684424,0.14494364855299438,0.0
33,33,0.4180941349314667,0.41007856145518984,0.9614888648250042,1.3160072805157157,0.14968682401418837,0.0
34,34,0.414123101519006,0.4061889274034468,0.9610880280684254,1.322994827915412,0.15439455293660206,0.0
35,35,0.4102253208750221,0.4023723871459648,0.9606911420145444,1.329882143805295,0.15906647643592844,0.0
36,36,0.4063987972484806,0.3986268994996593,0.9602981297818136,1.3366719925089021,0.1637023274647981,0.0
37,37,0.4026416065101144,0.3949504985820076,0.9599089167058141,1.3433670253990804,0.16830191991958587,0.0
38,38,0.3989518929741518,0.3913412903704227,0.9595234302549818,1.349969787013041,0.17286513905397002,0.0
39,39,0.3953278663875847,0.387797449448569,0.9591415999502972,1.3564827207555377,0.17739193302687137,0.0
40,40,0.3917677990767715,0.3843172159278767,0.9587633572887099,1.3629081742233058,0.18188230543777847,0.0
41,41,0.3882700232418746,0.3808988925333467,0.9583886356700984,1.3692484041808035,0.18633630872367776,0.0
42,42,0.3848329283902814,0.3775408418435061,0.9580173703275657,1.37550558121453,0.19075403830961407,0.0
43,43,0.381454958900759,0.374241483675086,0.9576494982608957,1.3816817940907222,0.19513562741991083,0.0
44,44,0.3781346117106449,0.3709992926036434,0.9572849581729934,1.3877790538390058,0.19948124246976928,0.0
45,45,0.3748704341188917,0.3678127956119557,0.9569236904091563,1.3937992975825841,0.20379107896773535,0.0
46,46,0.3716610216982565,0.36468056985856917,0.9565656368990236,1.3997443921337553,0.20806535786869332,0.0
47,47,0.3685050163103693,0.36160124055940157,0.9562107411010635,1.4056161373719254,0.21230432232487778,0.0
48,48,0.3654011042178165,0.35857347897577024,0.955858947949467,1.4114162694198331,0.21650823478910602,0.0
49,49,0.3623480142877595,0.3555960005026618,0.9555102038033255,1.4171464636323816,0.22067737443019678,0.0
50,50,0.3593445162819571,0.35266756285146345,0.9551644563979732,1.4228083374112779,0.22481203482550777,0.0
51,51,0.356389419228385,0.3497869643217549,0.9548216547983858,1.4284034528576044,0.22891252189981204,0.0
52,52,0.353481569869951,0.34695304215711104,0.9544817493545333,1.4339333192734673,0.23297915208344605,0.0
53,53,0.3506198511860839,0.34416467098018827,0.9541446916585878,1.4393993955229725,0.23701225066588358,0.0
54,54,0.3478031809832374,0.34142076130266963,0.9538104345038952,1.4448030922619768,0.24101215032369103,0.0
55,55,0.3450305105505943,0.33872025810592543,0.9534789318456255,1.4501457740453239,0.24497918980426164,0.0
56,56,0.3423008233774802,0.33606213948850217,0.953150138763018,1.4554287613195995,0.2489137127488578,0.0
57,57,0.3396131339292133,0.3334454153768009,0.9528240114231463,1.4606533323088362,0.25281606664035644,0.0
58,58,0.3369664864783062,0.3308691262955232,0.9525005070461298,1.465820724800029,0.2566866018627289,0.0
59,59,0.3343599539881293,0.3283323421946812,0.9521795838717229,1.4709321378348226,0.2605256708607214,0.0
60,60,0.331792637046307,0.32583416133015647,0.9518612011272167,1.4759887333132524,0.264333627389468,0.0
61,61,0.3292636628452858,0.32337370919497727,0.9515453189965928,1.4809916375150016,0.2681108258448791,0.0
62,62,0.3267721842076597,0.32095013749865514,0.9512318985908704,1.4859419425432359,0.2718576206666345,0.0
63,63,0.324317378653979,0.3185626231920764,0.9509209019195917,1.4908407076957222,0.2755743658064749,0.0
64,64,0.3218984475109003,0.3162103675355948,0.9506122918633941,1.4956889607676036,0.27926141425525924,0.0
65,65,0.3195146150576565,0.3138925952081087,0.9503060321476201,1.5004876992898948,0.2829191176229339,0.0
66,66,0.3171651277089421,0.31160855345503513,0.9500020873169172,1.505237891707488,0.2865478257661666,0.0
67,67,0.3148492532324152,0.3093575112732134,0.9497004227107845,1.5099404785001922,0.290147886458936,0.0
68,68,0.3125662799991187,0.307138758630885,0.9494010044400241,1.5145963732500978,0.2937196451018471,0.0
69,69,0.3103155162652187,0.3049516057210007,0.9491037993640559,1.5192064636583318,0.2972634444663687,0.0
70,70,0.3080962894835442,0.3027953822462058,0.9488087750690611,1.5237716125140706,0.30077962447057144,0.0
71,71,0.3059079456434977,0.3006694367339455,0.9485158998469152,1.5282926586184828,0.30426852198328375,0.0
72,72,0.3037498486379825,0.2985731358802228,0.9482251426748785,1.5327704176661088,0.30773047065388875,0.0
73,73,0.301621379656068,0.29650586392061684,0.9479364731960113,1.5372056830860137,0.3111658007652563,0.0
74,74,0.2995219366001792,0.29446702202725306,0.9476498617002822,1.5415992268449072,0.31457483910754963,0.0
75,75,0.2974509335266662,0.29245602773048157,0.9473652791063423,1.545951800214283,0.3179579088708645,0.0
76,76,0.2954078001086661,0.2904723143640926,0.9470826969439345,1.5502641345035002,0.3213153295548549,0.0
77,77,0.2933919811202296,0.2885153305329582,0.946802087336914,1.5545369417606145,0.32464741689367754,0.0
78,78,0.291402935940737,0.28658453960204927,0.9465234229868535,1.5587709154426488,0.3279544827947447,0.0
79,79,0.2894401380786798,0.28467941920583434,0.94624667715721,1.5629667310568973,0.33123683528991954,0.0
80,80,0.2875030747139309,0.2827994607771165,0.9459718236580282,1.5671250467747553,0.33449477849791576,0.0
81,81,0.2855912462576739,0.2809441690944175,0.9456988368311628,1.5712465040194794,0.337728612596781,0.0
82,82,0.2837041659291996,0.279113061847061,0.9454276915359938,1.5753317280292014,0.3409386338054472,0.0
83,83,0.2818413593488238,0.277305669217154,0.9451583631356194,1.579381328396437,0.34412513437342707,0.0
84,84,0.2800023641462127,0.27552153347770536,0.9448908274835048,1.583395899585263,0.3472884025778203,0.0
85,85,0.2781867295834431,0.27376020860615835,0.9446250609105714,1.5873760214272632,0.35042872272687176,0.0
86,86,0.2763940161921518,0.2720212599126528,0.9443610402127055,1.591322259597287,0.3535463751693938,0.0
87,87,0.2746237954241677,0.27030426368236554,0.9440987426386747,1.5952351660699977,0.35664163630942725,0.0
88,88,0.2728756493150439,0.2686088068313113,0.943838145878432,1.5991152795581403,0.3597147786255752,0.0
89,89,0.2711491701599386,0.26693448657501634,0.943579228051796,1.6029631259333965,0.36276607069449407,0.0
90,90,0.2694439602013204,0.2652809101095074,0.9433219676974912,1.6067792186306602,0.3657957772180746,0.0
91,91,0.2677596313279972,0.2636476943040838,0.9430663437625345,1.6105640590365058,0.36880415905388897,0.0
92,92,0.2660958047849938,0.26203446540537,0.9428123355919552,1.614318136862592,0.37179147324851747,0.0
93,93,0.2644521108938245,0.2604408587521662,0.9425599229188378,1.6180419305046956,0.3747579730734059,0.0
94,94,0.2628281887827295,0.25886651850064185,0.9423090858546721,1.6217359073880355,0.37770390806293547,0.0
95,95,0.2612236861264644,0.2573110973594363,0.9420598048800017,1.6254005242995146,0.3806295240544166,0.0
96,96,0.2596382588952486,0.2557742563342519,0.9418120608353603,1.6290362277074655,0.38353506322974534,0.0
97,97,0.2580715711125026,0.2542556644815464,0.9415658349124824,1.6326434540694668,0.3864207641584848,0.0
98,98,0.256523294621014,0.25275499867094703,0.9413211086457822,1.6362226301287568,0.389286861842156,0.0
99,99,0.2549931088571943,0.2512719433560295,0.9410778639040884,1.6397741731997515,0.39213358775954327,0.0
100,100,0.2534807006331033,0.2498061903531193,0.9408360828826261,1.6432984914431432,0.39496116991283714,0.0
101,101,0.2519857639259267,0.24835743862779053,0.940595748095237,1.646795984131034,0.3977698328744545,0.0
102,102,0.2505079996746179,0.24692539408875053,0.9403568423668325,1.6502670419025356,0.4005597978343912,0.0
103,103,0.2490471155834155,0.24550976938881502,0.9401193488260641,1.6537120470102427,0.40333128264797596,0.0
104,104,0.2476028259319714,0.2441102837326898,0.9398832508982133,1.6571313735579718,0.4060845018839071,0.0
105,105,0.2461748513918293,0.24272666269128995,0.9396485322982839,1.660525387730132,0.40881966687246546,0.0
106,106,0.2447629188490073,0.24135863802233742,0.9394151770242971,1.6638944480130802,0.4115369857538071,0.0
107,107,0.2433667612324516,0.24000594749699206,0.9391831693507766,1.6672389054087962,0.4142366635262488,0.0
108,108,0.2419861173481335,0.2386683347322795,0.938952493822423,1.6705591036411938,0.4169189020944692,0.0
109,109,0.2406207317185751,0.23734554902909188,0.9387231352479645,1.673855379355372,0.4195839003175542,0.0
110,110,0.2392703544275992,0.2360373452155457,0.9384950786941847,1.6771280623100953,0.422231854056826,0.0
111,111,0.2379347409701044,0.2347434834954918,0.9382683094801155,1.6803774755637737,0.4248629562233977,0.0
112,112,0.2366136521066777,0.23346372930198053,0.9380428131713942,1.6836039356542112,0.42747739682540525,0.0
113,113,0.2353068537228642,0.23219785315549418,0.9378185755747757,1.6868077527723646,0.43007536301487126,0.0
114,114,0.2340141166929197,0.23094563052676656,0.9375955827327979,1.689989230930357,0.43265703913416187,0.0
115,115,0.2327352167478834,0.2297068417040176,0.937373820918593,1.693148668123968,0.435222606762002,0.0
116,116,0.2314699343478077,0.22848127166443824,0.9371532766308404,1.6962863564898205,0.4377722447590182,0.0
117,117,0.230218054557997,0.2272687099497672,0.9369339365888576,1.6994025824574688,0.44030612931278285,0.0
118,118,0.228979366929108,0.22606895054580917,0.9367157877278228,1.7024976268965857,0.4428244339823359,0.0
119,119,0.2277536653809713,0.22488179176574863,0.9364988171941269,1.7055717652594387,0.4453273297421648,0.0
120,120,0.2265407480900018,0.22370703613712156,0.9362830123408493,1.708625267718832,0.4478149850256254,0.0
121,121,0.2253404173800678,0.22254449029231096,0.9360683607233541,1.7116583993016905,0.4502875657677886,0.0
122,122,0.2241524796166973,0.22139396486243934,0.9358548500950037,1.7146714200184456,0.452745235447702,0.0
123,123,0.2229767451045009,0.22025527437453554,0.9356424684029838,1.717664584988385,0.45518815513005534,0.0
124,124,0.2218130279877001,0.2191282371518588,0.935431203784239,1.7206381445611123,0.45761648350624273,0.0
125,125,0.220661146153651,0.21801267521726753,0.935221044561514,1.7235923444342647,0.4600303769348151,0.0
126,126,0.2195209211392583,0.2169084141995245,0.9350119792394966,1.7265274257676217,0.46242998948131814,0.0
127,127,0.21839217804018,0.21581528324243543,0.9348039965010617,1.7294436252937422,0.46481547295751363,0.0
128,128,0.2172747454227261,0.2147331149167212,0.9345970852036103,1.7323411754252502,0.46718697695998135,0.0
129,129,0.2161684552383578,0.213661745134528,0.9343912343755026,1.735220304358896,0.46954464890810155,0.0
130,130,0.2150731427406998,0.21260101306648427,0.9341864332125821,1.7380812361765043,0.4718886340814189,0.0
131,131,0.2139886464049781,0.21155076106121581,0.9339826710747859,1.7409241909429214,0.4742190756563888,0.0
132,132,0.2129148078498025,0.2105108345672351,0.9337799374828424,1.74374938480107,0.4765361147425092,0.0
133,133,0.2118514717612143,0.20948108205712285,0.9335782221150503,1.7465570300642106,0.4788398904178401,0.0
134,134,0.2107984858189219,0.20846135495392404,0.9333775148041374,1.7493473353055098,0.48113053976391634,0.0
135,135,0.2097557006246538,0.20745150755968358,0.9331778055341994,1.7521205054450066,0.48340819790005646,0.0
136,136,0.2087229696325553,0.20645139698604872,0.9329790844377108,1.7548767418340712,0.4856729980170737,0.0
137,137,0.2077001490815643,0.20546088308686958,0.9327813417926125,1.7576162423374373,0.48792507141039476,0.0
138,138,0.2066870979296987,0.20447982839273035,0.9325845680194677,1.7603392014128958,0.49016454751259214,0.0
139,139,0.2056836777901932,0.2035080980473474,0.9323887536786891,1.7630458101887263,0.49239155392533634,0.0
140,140,0.2046897528694265,0.20254555974577207,0.9321938894678319,1.7657362565389447,0.4946062164507751,0.0
141,141,0.2037051899065784,0.20159208367433942,0.9319999662189518,1.7684107251564396,0.49680865912234656,0.0
142,142,0.2027298581149631,0.20064754245230434,0.9318069748960272,1.7710693976240683,0.4989990042350333,0.0
143,143,0.2017636291249825,0.1997118110751117,0.931614906592442,1.7737124524837817,0.5011773723750654,0.0
144,144,0.2008063769286503,0.19878476685924582,0.9314237525285289,1.77634006530384,0.5033438824490801,0.0
145,145,0.199857977825633,0.19786628938860898,0.9312335040491693,1.778952408744186,0.5054986517127452,0.0
146,146,0.1989183103707637,0.19695626046238018,0.9310441526214509,1.7815496526200338,0.5076417957988549,0.0
147,147,0.1979872553229795,0.19605456404430519,0.9308556898323804,1.7841319639637323,0.5097734287449066,0.0
148,148,0.1970646955956377,0.1951610862133741,0.9306681073866475,1.7866995070849576,0.511893663020165,0.0
149,149,0.1961505162081693,0.19427571511584096,0.9304813971044428,1.7892524436292907,0.5140026095522243,0.0
150,150,0.1952446042390266,0.1933983409185436,0.9302955509193248,1.7917909326352297,0.5161003777530737,0.0
151,151,0.1943468487798844,0.19252885576348272,0.9301105608761365,1.794315130589689,0.5181870755446777,0.0
152,152,0.1934571408910579,0.1916671537236206,0.9299264191289687,1.7968251914820301,0.5202628093840764,0.0
153,153,0.1925753735580977,0.19081313075986162,0.9297431179391709,1.7993212668566745,0.5223276842880165,0.0
154,154,0.1917014416495272,0.18996668467917782,0.9295606496734069,1.8018035058643387,0.5243818038571192,0.0
155,155,0.1908352418756869,0.1891277150938439,0.929379006801753,1.8042720553119382,0.5264252702995951,0.0
156,156,0.189976672748652,0.18829612338174784,0.9291981818958406,1.8067270597111993,0.5284581844545123,0.0
157,157,0.1891256345431911,0.18747181264774393,0.9290181676270393,1.809168661326019,0.5304806458146276,0.0
158,158,0.1882820292587346,0.1866546876860165,0.9288389567646808,1.8115970002186135,0.5324927525487868,0.0
159,159,0.1874457605823216,0.18584465494342378,0.9286605421743216,1.814012214294489,0.5344946015239043,0.0
160,160,0.1866167338524977,0.1850416224837917,0.9284829168160454,1.8164144393462731,0.5364862883265277,0.0
161,161,0.1857948560241339,0.18424549995313,0.9283060737428008,1.8188038090964407,0.5384679072839967,0.0
162,162,0.1849800356341403,0.18345619854574202,0.9281300060987765,1.821180455238967,0.5404395514852035,0.0
163,163,0.1841721827680473,0.182673630971202,0.9279547071178125,1.8235445074799403,0.5424013128009613,0.0
164,164,0.1833712090274294,0.18189771142217384,0.9277801701218434,1.825896093577166,0.5443532819039905,0.0
165,165,0.1825770274981478,0.18112835554304682,0.9276063885193786,1.8282353393787905,0.5462955482885276,0.0
166,166,0.1817895527193852,0.1803654803993637,0.927433355804012,1.8305623688609756,0.5482282002895661,0.0
167,167,0.1810087006534536,0.17960900444801825,0.9272610655529656,1.8328773041646496,0.5501513251017351,0.0
168,168,0.1802343886563487,0.17885884750819955,0.9270895114256633,1.835180265631363,0.5520650087978236,0.0
169,169,0.1794665354490335,0.17811493073306148,0.9269186871623352,1.8374713718382747,0.5539693363469566,0.0
170,170,0.1787050610894265,0.17737717658209612,0.9267485865826507,1.839750739632294,0.5558643916324306,0.0
171,171,0.1779498869450767,0.1766455087941912,0.926579203584382,1.8420184841634026,0.5577502574692158,0.0
172,172,0.177200935666506,0.1759198523613512,0.9264105321420939,1.8442747189171798,0.5596270156211289,0.0
173,173,0.1764581311611973,0.17520013350306396,0.9262425663058617,1.8465195557465535,0.5614947468176866,0.0
174,174,0.1757213985682145,0.17448627964129362,0.9260753002000154,1.8487531049028008,0.5633535307706437,0.0
175,175,0.1749906642334321,0.17377821937608254,0.9259087280219107,1.8509754750658163,0.5652034461902224,0.0
176,176,0.174265855685361,0.17307588246174502,0.9257428440407238,1.8531867733736718,0.5670445708010411,0.0
177,177,0.1735469016115519,0.17237919978363564,0.9255776425962726,1.855387105451484,0.5688769813577443,0.0
178,178,0.1728337318355598,0.17168810333547674,0.9254131180978609,1.8575765754396143,0.5707007536603453,0.0
179,179,0.1721262772944571,0.17100252619722897,0.9252492650231463,1.859755286021212,0.5725159625692823,0.0
180,180,0.1714244700168757,0.17032240251348998,0.9250860779170317,1.8619233384491278,0.5743226820201965,0.0
181,181,0.1707282431015676,0.16964766747240653,0.924923551390578,1.8640808325722065,0.5761209850384379,0.0
182,182,0.1700375306964681,0.16897825728508586,0.9247616801199401,1.8662278668609824,0.5779109437533021,0.0
183,183,0.169352267978247,0.16831410916549264,0.9246004588453224,1.86836453843279,0.5796926294120065,0.0
184,184,0.1686723911323367,0.16765516131081787,0.9244398823699572,1.8704909430763061,0.5814661123934084,0.0
185,185,0.1679978373334227,0.1670013528823077,0.924279945559102,1.8726071752755409,0.583231462221472,0.0
186,186,0.1673285447263845,0.1663526239865385,0.9241206433390566,1.8747133282332902,0.5849887475784887,0.0
187,187,0.1666644524076755,0.16570891565712675,0.9239619706962008,1.876809493894065,0.5867380363180557,0.0
188,188,0.1660055004071284,0.1650701698368625,0.9238039226760492,1.8788957629665117,0.5884793954778177,0.0
189,189,0.1653516296701773,0.1644363293602536,0.923646494382326,1.880972224945336,0.5902128912919774,0.0
190,190,0.1647027820404832,0.1638073379364712,0.9234896809760578,1.8830389681327444,0.5919385892035777,0.0
191,191,0.1640589002429532,0.16318314013268498,0.9233334776746823,1.8850960796594154,0.5936565538765617,0.0
192,192,0.1634199278671435,0.1625636813577778,0.9231778797511766,1.8871436455050132,0.5953668492076145,0.0
193,193,0.1627858093510354,0.16194890784643018,0.9230228825332002,1.8891817505182558,0.5970695383377914,0.0
194,194,0.1621564899651743,0.1613387666435642,0.9228684814022559,1.8912104784365473,0.598764683663936,0.0
195,195,0.1615319157971633,0.16073320558913795,0.9227146717928659,1.8932299119051894,0.6004523468498936,0.0
196,196,0.1609120337365017,0.1601321733032811,0.922561449191764,1.895240132496179,0.6021325888375231,0.0
197,197,0.1602967914597591,0.1595356191717628,0.922408809137103,1.8972412207266045,0.6038054698575122,0.0
198,198,0.1596861374160768,0.15894349333178273,0.9222567472176773,1.8992332560766518,0.605471049439999,0.0
199,199,0.1590800208129885,0.1583557466580783,0.922105259072159,1.901216317007227,0.6071293864250048,0.0
200,200,0.1584783916025514,0.15777233074933802,0.9219543403883502,1.9031904809772087,0.6087805389726811,0.0
201,201,0.1578812004677801,0.15719319791491465,0.921803986902448,1.9051558244603377,0.6104245645733751,0.0
202,202,0.1572883988093764,0.15661830116182981,0.9216541943983235,1.9071124229617524,0.6120615200575167,0.0
203,203,0.1566999387327455,0.1560475941820626,0.9215049587068139,1.909060351034181,0.6136914616053314,0.0
204,204,0.1561157730352941,0.15548103134011526,0.9213562757050278,1.9109996822937967,0.6153144447563822,0.0
205,205,0.155535855194001,0.1549185676608487,0.9212081413156642,1.9129304894357453,0.6169305244189432,0.0
206,206,0.1549601393532543,0.15436015881758094,0.9210605515063424,1.9148528442493542,0.61853975487921,0.0
207,207,0.1543885803129492,0.1538057611204424,0.9209135022889453,1.9167668176330288,0.6201421898103475,0.0
208,208,0.153821133516839,0.15325533150498066,0.9207669897189743,1.9186724796088448,0.6217378822813816,0.0
209,209,0.1532577550411326,0.15270882752100978,0.9206210098949159,1.920569899336844,0.6233268847659348,0.0
210,210,0.1526984015833344,0.15216620732169653,0.9204755589576197,1.9224591451290416,0.6249092491508107,0.0
211,211,0.1521430304513188,0.1516274296528792,0.9203306330896872,1.9243402844631485,0.6264850267444304,0.0
212,212,0.1515915995526337,0.151092453842612,0.9201862285148734,1.9262133839960212,0.628054268285122,0.0
213,213,0.1510440673840286,0.15056123979093028,0.9200423414974962,1.9280785095768394,0.6296170239492682,0.0
214,214,0.1505003930212008,0.15003374795983093,0.9198989683418586,1.9299357262600234,0.6311733433593135,0.0
215,215,0.1499605361087546,0.14950993936346244,0.9197561053916804,1.9317850983178941,0.6327232755916343,0.0
216,216,0.149424456850369,0.14898977555851994,0.9196137490295399,1.9336266892530825,0.6342668691842741,0.0
217,217,0.1488921159991674,0.1484732186348401,0.9194718956763254,1.9354605618106948,0.635804172144547,0.0
218,218,0.1483634748482866,0.1479602312061906,0.9193305417906965,1.9372867779902396,0.6373352319565119,0.0
219,219,0.1478384952216381,0.14745077640125046,0.9191896838685554,1.939105399057321,0.6388600955883194,0.0
220,220,0.1473171394648588,0.14694481785477556,0.9190493184425252,1.9409164855551049,0.6403788094994349,0.0
221,221,0.146799370436446,0.14644231969894583,0.9189094420814411,1.9427200973155618,0.6418914196477395,0.0
222,222,0.1462851514990719,0.14594324655488908,0.9187700513898462,1.9445162934704943,0.643397971496511,0.0
223,223,0.1457744465110743,0.14544756352437754,0.9186311430074994,1.9463051324623502,0.6448985100212881,0.0
224,224,0.145267219818118,0.14495523618169348,0.918492713608889,1.9480866720548295,0.646393079716619,0.0
225,225,0.1447634362450252,0.14446623056565885,0.9183547599027575,1.9498609693432896,0.647881724602698,0.0
226,226,0.1442630610877679,0.14398051317182617,0.9182172786316322,1.9516280807649495,0.6493644882318907,0.0
227,227,0.1437660601056213,0.14349805094482626,0.9180802665713648,1.953388062108905,0.6508414136951514,0.0
228,228,0.1432723995134727,0.14301881127086932,0.9179437205306783,1.9551409685259504,0.6523125436283329,0.0
229,229,0.142782045974283,0.14254276197039567,0.9178076373507227,1.9568868545382185,0.6537779202183935,0.0
230,230,0.1422949665916976,0.14206987129087303,0.9176720139046365,1.9586257740486384,0.6552375852095005,0.0
231,231,0.1418111289028024,0.14160010789973645,0.9175368470971172,1.960357780350217,0.6566915799090333,0.0
232,232,0.1413305008710219,0.141133440877468,0.9174021338639978,1.962082926135148,0.6581399451934884,0.0
233,233,0.1408530508791571,0.1406698397108128,0.917267871171831,1.9638012635037514,0.6595827215142878,0.0
234,234,0.1403787477225583,0.14020927428612817,0.9171340560174801,1.9655128439732492,0.6610199489034918,0.0
235,235,0.1399075606024313,0.13975171488286342,0.9170006854277167,1.9672177184863782,0.6624516669794195,0.0
236,236,0.1394394591192732,0.13929713216716638,0.9168677564588256,1.968915937419845,0.6638779149521777,0.0
237,237,0.1389744132664344,0.13884549718561467,0.9167352661962146,1.970607550592628,0.6652987316291006,0.0
238,238,0.138512393423806,0.13839678135906835,0.9166032117540329,1.972292607274126,0.6667141554201004,0.0
239,239,0.1380533703516269,0.13795095647664155,0.916471590274794,1.9739711561921613,0.6681242243429335,0.0
240,240,0.1375973151844103,0.13750799468978991,0.9163403989290054,1.9756432455408366,0.6695289760283805,0.0
241,241,0.1371441994249861,0.13706786850651215,0.9162096349148048,1.9773089229882503,0.6709284477253439,0.0
242,242,0.1366939949386557,0.1366305507856618,0.9160792954576011,1.978968235684075,0.6723226763058642,0.0
